reference;brand;group
(NUSAR) 540733CA    ;FAG                 ;ROLAMENTO                     
(NUSAR) 6407        ;FAG                 ;ROLAMENTO                     
(NUSAR)BL 208 Z     ;FAG                 ;ROLAMENTO                     
(NUSAR)BL 211       ;FAG                 ;ROLAMENTO                     
(TESTE WMS)         ;FAG                 ;ROLAMENTO                     
01 ASE 09           ;INA                 ;MANCAL                        
01 CJ 05            ;INA                 ;MANCAL                        
01 CJ 11            ;INA                 ;MANCAL                        
01 CJTZ 06          ;INA                 ;MANCAL                        
01 FE 07            ;INA                 ;MANCAL                        
01 FE 08            ;INA                 ;MANCAL                        
01 FE 09            ;INA                 ;MANCAL                        
03.52 MSB           ;INA                 ;MANCAL                        
03.52 MST           ;INA                 ;MANCAL                        
03.62 MSB           ;INA                 ;MANCAL                        
03.62 MST           ;INA                 ;MANCAL                        
03.62 MSTR          ;INA                 ;MANCAL                        
03.72 MSA/MSB       ;INA                 ;MANCAL                        
03.72 MSB           ;INA                 ;MANCAL                        
03.72 MST           ;INA                 ;MANCAL                        
03.72 MSTR          ;INA                 ;MANCAL                        
03.80 MSA           ;INA                 ;MANCAL                        
03.80 MSA/MSB       ;INA                 ;MANCAL                        
03.80 MSB           ;INA                 ;MANCAL                        
03.85 MSB           ;INA                 ;MANCAL                        
1,5X13,8            ;INA                 ;ROLAMENTO                     
1007.E              ;FAG                 ;ROLAMENTO                     
1022.A012           ;FAG                 ;ROLAMENTO                     
104746              ;FAG                 ;ROLAMENTO                     
104746A             ;FAG                 ;ROLAMENTO                     
107640              ;FAG                 ;ROLAMENTO                     
108TV               ;FAG                 ;ROLAMENTO                     
108TV #             ;FAG                 ;ROLAMENTO                     
1107.E              ;FAG                 ;ROLAMENTO                     
111516B             ;FAG                 ;ROLAMENTO                     
11204TV             ;FAG                 ;ROLAMENTO                     
11205TV             ;FAG                 ;ROLAMENTO                     
11206TV             ;FAG                 ;ROLAMENTO                     
11207TV             ;FAG                 ;ROLAMENTO                     
11207TV #           ;FAG                 ;ROLAMENTO                     
11208TV             ;FAG                 ;ROLAMENTO                     
11208TV #           ;FAG                 ;ROLAMENTO                     
11209TV             ;FAG                 ;ROLAMENTO                     
11211TV             ;FAG                 ;ROLAMENTO                     
11212TV             ;FAG                 ;ROLAMENTO                     
1122/A012           ;FAG                 ;ROLAMENTO                     
1122/R012           ;FAG                 ;ROLAMENTO                     
1122F/A012          ;FAG                 ;ROLAMENTO                     
11305TV             ;FAG                 ;ROLAMENTO                     
11306TV             ;FAG                 ;ROLAMENTO                     
11307TV             ;FAG                 ;ROLAMENTO                     
11308TV             ;FAG                 ;ROLAMENTO                     
118549A-R1/8        ;FAG                 ;ROLAMENTO                     
1200TV              ;FAG                 ;ROLAMENTO                     
1200TV.C3           ;FAG                 ;ROLAMENTO                     
1201                ;INA                 ;ROLAMENTO                     
1201TV              ;FAG                 ;ROLAMENTO                     
1201TV.C3           ;FAG                 ;ROLAMENTO                     
1202TV              ;FAG                 ;ROLAMENTO                     
1202TV              ;FAG                 ;ROLAMENTO                     
1202TV.C3           ;FAG                 ;ROLAMENTO                     
